Product_ID,SKU Code,SKU Description,Category,Sub Category,Product,Sub Product
P1,5001013201,Pastry Leaves 1*24*500 Gm,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P2,4002014409,SO FRESH TUNA MAYO SAND-WHITE,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P3,4004055623,Regular Rounded Pizza 80Gr,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P4,4002045112,Sf Fatoush Salad 244 Gr.,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P5,4002014407,Sf Smoked Turkey Sandwich Bb,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P6,4004015453,XL CHOCOLATE CROISSANT,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P7,4004120001,Bunzz Feta Cheese / Oregano,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P8,4002070001,Sf Pineapple Fruit 80G,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P9,4002014395,Sf Chicken Mayo Spicy Sndw Wb,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P10,4002014386,SF GRILLED VEGGGI SANDWICH BB,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P11,4004055625,Large Pate Cheese/Olives 75G,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P12,4002014399,SF CHICKEN TIKKA SANDWICH BB,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P13,4004015452,XL FETA CHEESE CROISSANT,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P14,5004700201,Choco Pie 8*12*30 G,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P15,4002014387,SF LIGHT CHEESESALADSANDWICHBB,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P16,4002014401,SF FETA TOMATO SANDWICH WB,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P17,4002070002,Sf Pomegranate Fruit 180G,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P18,4004055622,SPICY ROUNDED PIZZA 80 GR.,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P19,4004055620,Large Patee Cheese/Oregano 75G,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P20,4002024345,CHICKEN BIRYANI 395 G,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P21,4002014389,SF TUNA LIGHT SANDWICH BB,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P22,5001050026,Rothi Paratha Plain 325Gr.,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P23,4004055621,LARGE PATEE PIZZA JALAPENO 75G,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P24,4004055600,Patee Mini Cheese 35 G,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P25,4004907003,SEMOLINA PROMOTION 20% EXTRA,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P26,4002045138,SO FRESH SEAFOOD SALAD 320G,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P27,4002014404,SF MORTADELLACHEESE SANDWICHBB,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P28,4002014397,SF CHICKEN MAYO SPICY SNDW BB,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P29,4004027001,SEMOLINA,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P30,4004015440,Croissant Chocolate 65G M F,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P31,4002045115,SF CORN SALAD 365 GR.,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P32,4004055627,LARGE PATEE FETA CHEESE 75G,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P33,4004015438,Croissant Strawberry 65G M F,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P34,4004025439,Mini Croissant Oregano 22 G,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P35,4004025301,Bread Crumb 500 G,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
